,id,ro_dealerid,ro_vin,avg_ro_labor_price,avg_ro_parts_price,avg_customerpay,avg_customerpay_value,avg_warrantypay,avg_warrantypay_value,avg_otherpay,avg_otherpay_value,vehicle_warranty_date,vehicle_warranty_mileage,max_ro_mileage,recency,frequency,vehicle_age,last_service_date,cust_postal_code,cust_city,cust_state_code,retained_flag,vehicle_warranty_service_status,market_value,body_class,reliability,luxury,ronum,dealer_postal_code,distance,dealer_location_population,nearby_same_dealer,nearby_third_party
182991,795178132T1BU4EE0BC730735,4515,2T1BU4EE0BC730735,141,0,0,0,0,0,1,141,2015-01-12T00:00:00.0000000,36000,53266,21,1,7,2018-10-12T00:00:00.0000000,32210,JACKSONVILLE,FL,0,0,9888.13,8,73,0,110529,33403,29,110222,2,16
182992,723762892T1KR32E98C695220,4515,2T1KR32E98C695220,112.9,460.38,0,0,0.33,189.1824,0.67,384.0976,2011-06-01T00:00:00.0000000,36000,118676,311,1,10,2017-12-26T00:00:00.0000000,33403,WEST PALM BEACH,FL,0,0,6171.78,8,73,0,110529,33403,11,110222,2,16
182993,11377874T1BF3EK8BU675234,4515,4T1BF3EK8BU675234,53.37,178.82,0.5,26.745,0,0,0.5,197.195,2013-11-22T00:00:00.0000000,36000,78465,42,2,7,2018-09-21T00:00:00.0000000,33414,WELLINGTON,FL,0,0,10015.47,8,73,0,110529,33403,33,110222,2,16
182994,1137787JTEDS43A882041382,4515,JTEDS43A882041382,57.53,221,0.6,161.02554,0.066,9.34824,0.332,74.21694,2011-04-06T00:00:00.0000000,36000,139627,194,5,10,2018-04-22T00:00:00.0000000,33414,WELLINGTON,FL,0,0,9232.2,11,73,0,110529,33403,11,110222,2,16
182995,726828292T1CE22P82C014239,4515,2T1CE22P82C014239,162.8,0,1,174.2,0,0,0,0,2005-01-01T00:00:00.0000000,36000,156400,315,1,16,2017-12-22T00:00:00.0000000,33408,NORTH PALM BEACH,FL,0,0,16324.8,3,73,0,110529,33403,41,110222,2,16
182996,405145032T1BURHE6FC237611,4515,2T1BURHE6FC237611,43.35,26.62,0.943333333,69.41413333,0,0,0.056666667,5.455866667,2018-01-01T00:00:00.0000000,36000,37480,358,3,3,2017-11-09T00:00:00.0000000,33410,PALM BEACH GARDENS,FL,0,1,13125.78,8,73,0,110529,33403,72,110222,2,16
182997,11287322T1BU4EE0BC720769,4515,2T1BU4EE0BC720769,206.47,164.35,0.69,343.2605364,0.045454545,27.13545455,0.265454545,22.2047,2014-11-04T00:00:00.0000000,36000,33686,73,10,7,2018-08-21T00:00:00.0000000,33410,PALM BEACH GARDENS,FL,0,0,10482.39,8,73,0,110529,33403,6,110222,2,16
182998,1131072JTDKN3DP1C3019081,4515,JTDKN3DP1C3019081,150.53,11.82,0,0,0.25,40.5875,0.75,121.7625,2015-01-01T00:00:00.0000000,36000,64357,218,1,6,2018-03-29T00:00:00.0000000,33477,JUPITER,FL,0,0,14548.07,8,73,0,110529,33403,55,110222,2,16
182999,500815881NXBU4EE0AZ374638,4515,1NXBU4EE0AZ374638,313.6,214.16,0,0,0.67,353.5992,0.33,174.1608,2013-05-18T00:00:00.0000000,36000,55398,261,1,8,2018-02-14T00:00:00.0000000,33403,WEST PALM BEACH,FL,0,0,8867.39,8,73,0,110529,33403,59,110222,2,16
183000,70759333JTEBU5JR7D5126190,4515,JTEBU5JR7D5126190,222.88,144.72,0.835,266.39555,0.165,105.65445,0,0,2016-01-01T00:00:00.0000000,36000,66419,210,2,5,2018-04-06T00:00:00.0000000,33403,LAKE PARK,FL,0,0,24844.57,11,73,0,110529,33403,20,110222,2,16
183001,53313366JTMBD33V686057933,4515,JTMBD33V686057933,240.27,168.02,0.875,301.17,0.125,85.195,0,0,2011-01-01T00:00:00.0000000,36000,73101,294,2,10,2018-01-12T00:00:00.0000000,33458,JUPITER,FL,0,0,8729.98,11,73,0,110529,33403,46,110222,2,16
183002,1139878JTLKE50E591094150,4515,JTLKE50E591094150,75.49,76.48,0.314285714,146.0402857,0.342857143,503.4937143,0.342857143,182.9488571,2012-01-01T00:00:00.0000000,36000,90995,221,7,9,2018-03-26T00:00:00.0000000,33408,NORTH PALM BEACH,FL,0,0,7105.06,11,68,0,110529,33403,43,110222,2,16
183003,1118405JTDBU4EE7BJ099177,4515,JTDBU4EE7BJ099177,206.61,167.16,0.732,411.4938,0,0,0.268,40.7202,2014-04-01T00:00:00.0000000,36000,46035,271,5,7,2018-02-04T00:00:00.0000000,33469,JUPITER,FL,0,0,10584.2,8,73,0,110529,33403,31,110222,2,16
183004,216563085TDYK3DC2DS377791,4515,5TDYK3DC2DS377791,111.84,87.92,0.375,48.66,0.25,132.66,0.375,22.7175,2016-01-01T00:00:00.0000000,36000,33102,267,4,5,2018-02-08T00:00:00.0000000,33408,NORTH PALM BEAC,FL,0,0,20415.07,11,73,0,110529,33403,51,110222,2,16
183005,747604774T1BF1FK9FU058594,4515,4T1BF1FK9FU058594,112.89,178.89,0.2,81.028,0,0,0.8,117.237,2018-01-01T00:00:00.0000000,36000,23845,33,4,3,2018-09-30T00:00:00.0000000,33404,WEST PALM BEACH,FL,0,0,16299.66,8,73,0,110529,33403,92,110222,2,16
183006,11505064T1BE46K19U360387,4515,4T1BE46K19U360387,73.14,61.77,0.6,144.368,0,0,0.4,0,2012-01-01T00:00:00.0000000,36000,154587,280,5,9,2018-01-26T00:00:00.0000000,33404,RIVIERA BEACH,FL,0,0,6460.91,8,73,0,110529,33403,94,110222,2,16
183007,99852412T1BU4EE6AC471540,4515,2T1BU4EE6AC471540,36.55,39.93,1,77.69,0,0,0,0,2013-01-01T00:00:00.0000000,36000,142659,308,2,8,2017-12-29T00:00:00.0000000,33418,PALM BEACH GARDENS,FL,0,0,7339.07,8,73,0,110529,33403,5,110222,2,16
183008,721002771NXBR32E88Z025852,4515,1NXBR32E88Z025852,382.9,157.97,0.8,462.984,0,0,0.2,115.746,2010-12-24T00:00:00.0000000,36000,64518,325,1,10,2017-12-12T00:00:00.0000000,33408,JUNO BEACH,FL,0,0,7137.48,8,73,0,110529,33403,14,110222,2,16
183009,709076795TFUW5F1XFX478830,4515,5TFUW5F1XFX478830,27.82,53.17,0.32,30.78,0,0,0.68,50.22,2018-01-01T00:00:00.0000000,36000,49497,177,2,3,2018-05-09T00:00:00.0000000,33406,WEST PALM BEACH,FL,0,0,28874.35,7,73,0,110529,33403,60,110222,2,16
183010,229807022T3DFREV0DW025040,4515,2T3DFREV0DW025040,11.87,13.55,0.5,10.695,0,0,0.5,2.2,2016-01-01T00:00:00.0000000,36000,52256,252,2,5,2018-02-23T00:00:00.0000000,13820,ONEONTA,NY,0,0,16964.93,11,73,0,110529,33403,999,110222,2,16
183011,11446145TDZA22C05S236739,4515,5TDZA22C05S236739,0,0,0,0,0,0,1,0,2008-06-01T00:00:00.0000000,36000,107643,472,1,13,2017-07-18T00:00:00.0000000,33467,LAKE WORTH,FL,0,0,7165.42,11,73,0,110529,33403,100,110222,2,16
183012,11161295TDZA22C05S236739,4515,5TDZA22C05S236739,156.39,564.74,0.375,423.28625,0.125,294.10375,0.5,0,2008-06-01T00:00:00.0000000,36000,108584,358,4,13,2017-11-09T00:00:00.0000000,33467,LAKE WORTH,FL,0,0,7150.55,11,73,0,110529,33403,59,110222,2,16
183013,393996062T3ZF4DV4BW084714,4515,2T3ZF4DV4BW084714,119.79,120.95,0.8125,188.0753125,0.0875,44.5559375,0.1,5.5,2014-10-07T00:00:00.0000000,36000,123904,157,8,7,2018-05-29T00:00:00.0000000,33407,WEST PALM BEACH,FL,0,0,9711.11,11,73,0,110529,33403,27,110222,2,16
183014,575924902T3BF4DV1AW056370,4515,2T3BF4DV1AW056370,237.87,259.12,0.97,478.6733,0.0325,24.728925,0,0,2013-01-01T00:00:00.0000000,36000,115815,266,4,8,2018-02-09T00:00:00.0000000,33403,LAKE PARK,FL,0,0,9998.56,11,73,0,110529,33403,81,110222,2,16
183015,59011869JTLKE50E181005155,4515,JTLKE50E181005155,121.95,121.68,0.835,176.87925,0.165,71.37075,0,0,2011-01-01T00:00:00.0000000,36000,165438,332,2,10,2017-12-05T00:00:00.0000000,33407,WEST PALM BEACH,FL,0,0,4717.94,11,68,0,110529,33403,21,110222,2,16
183016,720312762T1BU40E39C169996,4515,2T1BU40E39C169996,443.68,436.14,0.4,353.048,0.6,529.572,0,0,2012-06-01T00:00:00.0000000,36000,146199,321,1,9,2017-12-16T00:00:00.0000000,33418,PALM BEACH GARDENS,FL,0,0,6554.9,8,73,0,110529,33403,97,110222,2,16
183017,11500284T1BK36B07U198137,4515,4T1BK36B07U198137,121.43,67.38,0.78,154.5430333,0,0,0.22,47.4903,2009-11-30T00:00:00.0000000,36000,85884,213,3,11,2018-04-03T00:00:00.0000000,33477,JUPITER,FL,0,0,8449.81,8,73,0,110529,33403,59,110222,2,16
183018,426170512T1BURHE2FC463242,4515,2T1BURHE2FC463242,38.85,7.58,0.375,15.8625,0.25,19.47375,0.375,11.63375,2018-01-01T00:00:00.0000000,36000,24642,225,4,3,2018-03-22T00:00:00.0000000,33462,LANTANA,FL,0,0,13649.82,8,73,0,110529,33403,71,110222,2,16
183019,11282405TDZK23CX8S166196,4515,5TDZK23CX8S166196,139.14,541.42,0.6675,109.238125,0.0825,183.50805,0.25,376.598825,2013-10-09T00:00:00.0000000,36000,166196,10,4,10,2018-10-23T00:00:00.0000000,33458-3348,JUPITER,FL,0,0,6731.52,11,73,0,110529,33403,28,110222,2,16
183020,45344161NXBR32E77Z822446,4515,1NXBR32E77Z822446,24.28,16.69,0.75,16.82625,0,0,0.25,5.60875,2010-01-01T00:00:00.0000000,36000,128004,227,2,11,2018-03-20T00:00:00.0000000,33436,BOYNTON BEACH,FL,0,0,5411.6,8,73,0,110529,33403,93,110222,2,16
183021,634644755TFJU4GN0FX075511,4515,5TFJU4GN0FX075511,113.19,260.28,1,399.61,0,0,0,0,2018-02-07T00:00:00.0000000,36000,49042,591,1,3,2017-03-21T00:00:00.0000000,33410,PALM BEACH GARDENS,FL,0,1,23702.46,7,73,0,110529,33403,23,110222,2,16
183022,54679741JTDZN3EU1D3187145,4515,JTDZN3EU1D3187145,55.05,33.47,0.8,88.26,0,0,0.2,0.094,2016-01-01T00:00:00.0000000,36000,55012,234,5,5,2018-03-13T00:00:00.0000000,33404,RIVIERA BEACH,FL,0,0,14390.93,11,73,0,110529,33403,69,110222,2,16
183023,11376735TDDK3EH4DS181912,4515,5TDDK3EH4DS181912,12.74,52.26,0.88,57.2,0,0,0.13,8.45,2016-01-01T00:00:00.0000000,36000,68500,276,1,5,2018-01-30T00:00:00.0000000,33418,PALM BEACH GARDENS,FL,0,0,19894.94,11,73,0,110529,33403,29,110222,2,16
183024,501791282T1BU4EE2DC924427,4515,2T1BU4EE2DC924427,213.25,145.95,0,0,0.5,179.6,0.5,179.6,2016-01-01T00:00:00.0000000,36000,50871,274,1,5,2018-02-01T00:00:00.0000000,33458,JUPITER,FL,0,0,11107.15,8,73,0,110529,33403,86,110222,2,16
183025,11219874T1BE46K57U703084,4515,4T1BE46K57U703084,51.75,74.71,0.671,102.09418,0,0,0.329,27.25182,2010-06-01T00:00:00.0000000,36000,128055,275,10,11,2018-01-31T00:00:00.0000000,33410,PALM BEACH GARDENS,FL,0,0,6413.38,8,73,0,110529,33403,11,110222,2,16
183026,24434906JTEZU5JR8E5068607,4515,JTEZU5JR8E5068607,18.34,58.65,1,82.38,0,0,0,0,2017-01-01T00:00:00.0000000,36000,120402,83,1,4,2018-08-11T00:00:00.0000000,33458,JUPITER,FL,0,0,20817.14,11,73,0,110529,33403,85,110222,2,16
183027,11201994T3BK11A59U020849,4515,4T3BK11A59U020849,201.16,343.58,0.816666667,451.3599,0,0,0.183333333,130.5601,2013-04-26T00:00:00.0000000,36000,48661,346,3,9,2017-11-21T00:00:00.0000000,33404,SINGER ISLAND,FL,0,0,14189.15,11,73,0,110529,33403,57,110222,2,16
183028,392995925YFBU4EE6CP051621,4515,5YFBU4EE6CP051621,293.24,145.95,0.75,333.5925,0.25,111.1975,0,0,2015-06-19T00:00:00.0000000,36000,129117,212,1,6,2018-04-04T00:00:00.0000000,33407,WEST PALM BEACH,FL,0,0,7703.4,8,73,0,110529,33403,80,110222,2,16
183029,232463455YFBU4EE6DP150778,4515,5YFBU4EE6DP150778,83.01,63.77,0.825,97.089,0.125,44.9,0.05,4.7985,2016-01-01T00:00:00.0000000,36000,77157,59,4,5,2018-09-04T00:00:00.0000000,33410,PALM BEACH GARDENS,FL,0,0,10287.43,8,73,0,110529,33403,61,110222,2,16
183030,428466024T1FA38P27U113702,4515,4T1FA38P27U113702,20,140.92,1,172.19,0,0,0,0,2012-10-19T00:00:00.0000000,36000,54348,343,1,11,2017-11-24T00:00:00.0000000,33477-9348,JUPITER,FL,0,0,8516.71,2,73,0,110529,33403,25,110222,2,16
183031,570788454T1FA38P75U064039,4515,4T1FA38P75U064039,72.95,127.83,1,214.84,0,0,0,0,2008-06-01T00:00:00.0000000,36000,94692,85,1,13,2018-08-09T00:00:00.0000000,33458,JUPITER,FL,0,0,6854.15,2,73,0,110529,33403,47,110222,2,16
183032,57078845JTEDS41A192092615,4515,JTEDS41A192092615,356.65,223.64,0.875,603.82875,0,0,0.125,12.97125,2012-10-19T00:00:00.0000000,36000,111720,192,4,9,2018-04-24T00:00:00.0000000,33458,JUPITER,FL,0,0,10736.71,11,73,0,110529,33403,24,110222,2,16
183033,57078845JTHFF2C20B2517466,4515,JTHFF2C20B2517466,270.51,156.46,1,456.48,0,0,0,0,2014-01-01T00:00:00.0000000,50000,23085,192,2,7,2018-04-24T00:00:00.0000000,33458,JUPITER,FL,0,0,21308.99,2,76,1,110529,33403,14,110222,2,16
183034,1141021JTEZU14R360064046,4515,JTEZU14R360064046,29.99,0,1,28.88,0,0,0,0,2009-01-01T00:00:00.0000000,36000,135520,97,1,12,2018-07-28T00:00:00.0000000,33418,PALM BEACH GARDENS,FL,0,0,9108.64,11,73,0,110529,33403,101,110222,2,16
183035,719276315TFBV54118X051679,4515,5TFBV54118X051679,137.98,0,0.5,68.99,0.5,68.99,0,0,2011-01-01T00:00:00.0000000,36000,125541,321,1,10,2017-12-16T00:00:00.0000000,33408,NORTH PALM BEACH,FL,0,0,15547.73,7,73,0,110529,33403,81,110222,2,16
183036,72591061JTDJT923185198934,4515,JTDJT923185198934,100.35,252.27,0,0,0.33,116.3646,0.67,236.2554,2011-01-01T00:00:00.0000000,36000,132829,310,1,10,2017-12-27T00:00:00.0000000,33458,JUPITER,FL,0,0,4702.71,4,73,0,110529,33403,83,110222,2,16
183037,11428614T1BE46K27U557906,4515,4T1BE46K27U557906,100.35,0,0,0,1,106.37,0,0,2010-06-01T00:00:00.0000000,36000,229516,63,1,11,2018-08-31T00:00:00.0000000,33404,RIVIERA BEACH,FL,0,0,4540.41,8,73,0,110529,33403,42,110222,2,16
183038,402083952T1BURHE5FC447990,4515,2T1BURHE5FC447990,272.94,292.79,0.571428571,583.6864286,0.214285714,13.78,0.214285714,13.69357143,2018-01-01T00:00:00.0000000,36000,4066,299,7,3,2018-01-07T00:00:00.0000000,33477,JUPITER,FL,0,0,14489.73,8,73,0,110529,33403,63,110222,2,16
183039,415495005TFJU4GN5FX089744,4515,5TFJU4GN5FX089744,17.5,18.49,1,38.33,0,0,0,0,2018-08-11T00:00:00.0000000,36000,36344,584,2,3,2017-03-28T00:00:00.0000000,33068,MARGATE,FL,0,1,24579.26,7,73,0,110529,33403,89,110222,2,16
183040,416736755TFJU4GN5FX089744,4515,5TFJU4GN5FX089744,50.86,27.12,1,83.44,0,0,0,0,2018-08-11T00:00:00.0000000,36000,55725,105,2,3,2018-07-20T00:00:00.0000000,33068,MARGATE,FL,0,1,23241,7,73,0,110529,33403,87,110222,2,16
183041,43224754T1BB46K18U054989,4515,4T1BB46K18U054989,60.03,42.95,0.835,102.99565,0,0,0.165,6.99435,2011-01-01T00:00:00.0000000,36000,113181,207,2,10,2018-04-09T00:00:00.0000000,33468-1030,JUPITER,FL,0,0,7395.68,8,73,0,110529,33403,16,110222,2,16
183042,723681214T1BG22K3YU996652,4515,4T1BG22K3YU996652,231.1,269.42,0.776666667,457.315,0,0,0.223333333,76.86833333,2004-01-28T00:00:00.0000000,36000,92719,300,3,18,2018-01-06T00:00:00.0000000,33458-2905,JUPITER,FL,0,0,10533.63,8,73,0,110529,33403,63,110222,2,16
